Ticker,10-K Link
PFE,https://www.sec.gov/Archives/edgar/data/0000078003/000007800322000027/pfe-20211231.htm
PG,https://www.sec.gov/Archives/edgar/data/80424/000008042422000064/pg-20220630.htm
PM,https://www.sec.gov/Archives/edgar/data/1413329/000141332922000011/pm-20211231.htm
PYPL,https://www.sec.gov/Archives/edgar/data/1633917/000163391722000027/pypl-20211231.htm
QCOM,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/qcom-20220925.htm
SBUX,https://www.sec.gov/Archives/edgar/data/0000829224/000082922422000058/sbux-20221002.htm
SLB,https://www.sec.gov/Archives/edgar/data/87347/000156459023000762/slb-10k_20221231.htm
SO,https://www.sec.gov/Archives/edgar/data/92122/000009212222000003/so-20211231.htm
SPG,https://www.sec.gov/Archives/edgar/data/1063761/000155837022001845/spg-20211231x10k.htm
T,https://www.sec.gov/Archives/edgar/data/732717/000073271722000015/t-20211231.htm
TGT,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/tgt-20220129.htm
TXN,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm
UNH,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/unh-20211231.htm
UNP,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/unp20211231_10k.htm
UPS,https://www.sec.gov/Archives/edgar/data/1090727/000109072722000007/ups-20211231.htm
USB,https://www.sec.gov/Archives/edgar/data/0000036104/000119312522048709/d256232d10k.htm
USD,https://www.sec.gov/Archives/edgar/data/1610682/000161068222000024/usdp-20211231.htm
V,https://www.sec.gov/Archives/edgar/data/0001403161/000140316122000081/v-20220930.htm
VZ,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm
WBA,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000064/wba-20220831.htm
WFC,https://www.sec.gov/Archives/edgar/data/0000072971/000007297122000096/wfc-20211231.htm
